UID_V6,FNODE_,type,WSCSSDANAM,,,,WSCSDANAME,WSCMDANAME,OCEAN,dam_NAME
581720,3798700,dam,Upper Saint-François,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,ROCK FOREST
702720,3800040,dam,Upper Saint-François,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,LA GRANDE DAME
752720,3801900,dam,Upper Saint-François,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,CHUTE BURROUGHS
703720,3788780,dam,Lower Saint-François,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,DRUMMONDVILLE
704720,3789220,dam,Lower Saint-François,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,CHUTE HEMMINGS
582720,3796130,dam,Lower Saint-François,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,LAROCQUE
1065720,3797130,dam,Yamaska,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,CHOINIÈRE
1115720,3789190,dam,Richelieu,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,SAINT-OURS
705720,3796730,dam,Richelieu,,,,Central St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,CHAMBLY
676720,3774010,dam,Batiscan,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,SAINT-NARCISSE
675720,3768250,dam,Sainte-Anne,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,SAINT-ALBAN
947720,3758860,dam,Lower St. Lawrence - Gouffre,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,"SEPT-CHUTES, BARRAGE DES"
948720,3759350,dam,Lower St. Lawrence - Gouffre,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,"SEPT CHUTES, MUR DE DÉRIVATION AVAL DES"
754720,3760610,dam,Lower St. Lawrence - Gouffre,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,JEAN LAROSE
588720,3739360,dam,Malbaie,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,CLERMONT
794720,3737520,dam,Lower St. Lawrence - Loup,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,SAINT-ANTONIN
591720,3741230,dam,Lower St. Lawrence - Loup,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,MORIN
583720,3770670,dam,Etchemin,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,ARMAGH
586720,3772950,dam,Etchemin,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,JEAN GUERIN
757720,3784870,dam,Chaudière,,,,Lower St. Lawrence,St. Lawrence Drainage Area,Atlantic Ocean,SARTIGAN
1058720,3703620,dam,Rimouski,,,,Northern Gaspé Peninsula,St. Lawrence Drainage Area,Atlantic Ocean,RIVIÈRE NEIGETTE
949720,3709230,dam,Rimouski,,,,Northern Gaspé Peninsula,St. Lawrence Drainage Area,Atlantic Ocean,"MITIS, BARRAGE"
1057720,3716740,dam,Rimouski,,,,Northern Gaspé Peninsula,St. Lawrence Drainage Area,Atlantic Ocean,MISTIGOUGÈCHE
593720,3690730,dam,Matane,,,,Northern Gaspé Peninsula,St. Lawrence Drainage Area,Atlantic Ocean,MATANE (LAC)
1063720,3596330,dam,Upper Peribonca,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,RIVIÈRE BONNARD (AMÉNAGEMENT LAC MANOUANE)
739720,3596700,dam,Upper Peribonca,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,"MANOUANE, LAC"
966720,3649480,dam,Central Peribonca,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean, PAMOUSCACHIOU-2
965720,3630970,dam,Lower Peribonca,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,"PASSES DANGEREUSES, BARRAGE DES"
625720,3687320,dam,Lower Peribonca,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,CHUTE-DU-DIABLE
1059720,3687860,dam,Lower Peribonca,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,CHUTE À LA SAVANE
765720,3680800,dam,Lac Saint-Jean - Mistassini,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,MINASHTUK (CENTRALE)
955720,3695900,dam,Lac Saint-Jean,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,"L'ISLE-MALIGNE, BARRAGE DE (PRINCIPAL)"
958720,3697860,dam,Lac Saint-Jean,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,"L'ISLE-MALIGNE-7, ÉVACUATEUR DE"
600720,3715030,dam,Saguenay - Mouth,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,ANSE-SAINT-JEAN
609720,3681730,dam,Saguenay - Mouth,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,ONATCHIWAY
606720,3689420,dam,Saguenay - Mouth,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,BETSY
607720,3693670,dam,Saguenay - Mouth,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,ADAM CUNNINGHAM
608720,3693770,dam,Saguenay - Mouth,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,CHUTE AUX GALETS
1003720,3694410,dam,Saguenay - Mouth,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,"MURDOCK-WILSON, BARRAGE"
1004720,3701380,dam,Saguenay - Mouth,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,"MURDOCK-WILSON, DIGUE"
1136720,3701420,dam,Saguenay - Mouth,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,CHUTE-À-CARON
1111720,3703440,dam,Saguenay - Mouth,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,BESY
1110720,3704000,dam,Saguenay - Mouth,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,CHICOUTIMI
1135720,3704140,dam,Saguenay - Mouth,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,AMÉNAGEMENT JONQUIÈRE
1108720,3704500,dam,Saguenay - Mouth,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,CHUTE BLANCHETTE
1109720,3705010,dam,Saguenay - Mouth,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,PONT-ARNAUD
621720,3707500,dam,Saguenay - Mouth,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,PIBRAC OUEST
617720,3709900,dam,Saguenay - Mouth,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,PORTAGE-DES-ROCHES
601720,3722080,dam,Saguenay - Mouth,,,,Saguenay,St. Lawrence Drainage Area,Atlantic Ocean,DIGUE DU LAC HA! HA!
731720,3657000,dam,Upper Betsiamites,,,,Betsiamites - Coast,St. Lawrence Drainage Area,Atlantic Ocean,PIPMUACAN RÉSERVOIR (LAC CASSÉ) - BETSIAMITES
1005720,3658610,dam,Upper Betsiamites,,,,Betsiamites - Coast,St. Lawrence Drainage Area,Atlantic Ocean, PAMOUSCACHIOU-1
732720,3659820,dam,Upper Betsiamites,,,,Betsiamites - Coast,St. Lawrence Drainage Area,Atlantic Ocean,PIPMUACAN RÉSERVOIR (LAC CASSÉ) - DESROCHES
640720,3666600,dam,Lower Betsiamites,,,,Betsiamites - Coast,St. Lawrence Drainage Area,Atlantic Ocean,"BERSIMIS II, MAIN"
951720,3694000,dam,Portneuf,,,,Betsiamites - Coast,St. Lawrence Drainage Area,Atlantic Ocean,PORTNEUF-1
998720,3545830,dam,Upper Manicouagan,,,,Manicouagan and aux Outardes,St. Lawrence Drainage Area,Atlantic Ocean,"HART-JAUNE, BARRAGE DE LA (AMÉNAGEMENT PRINCIPAL, BARRAGE SUPERIEUR)"
1002720,3545930,dam,Upper Manicouagan,,,,Manicouagan and aux Outardes,St. Lawrence Drainage Area,Atlantic Ocean,"HART-JAUNE, BARRAGE INTERMÉDIAIRE DE LA"
736720,3600120,dam,Upper Manicouagan,,,,Manicouagan and aux Outardes,St. Lawrence Drainage Area,Atlantic Ocean,DANIEL JOHNSON (MANIC 5)
997720,3600120,dam,Upper Manicouagan,,,,Manicouagan and aux Outardes,St. Lawrence Drainage Area,Atlantic Ocean,MANIC-5 ÉVACUATEUR PRINCIPAL
989720,3626500,dam,Lower Manicouagan,,,,Manicouagan and aux Outardes,St. Lawrence Drainage Area,Atlantic Ocean,LAC SAINTE-ANNE - ÉVACUATEUR DE CRUE
1009720,3630340,dam,Lower Manicouagan,,,,Manicouagan and aux Outardes,St. Lawrence Drainage Area,Atlantic Ocean,LAC SAINTE-ANNE - REMBLAI SUD-EST
1022720,3639600,dam,Lower Manicouagan,,,,Manicouagan and aux Outardes,St. Lawrence Drainage Area,Atlantic Ocean,"MANIC-3, PRINCIPAL BARRAGE"
1023720,3639600,dam,Lower Manicouagan,,,,Manicouagan and aux Outardes,St. Lawrence Drainage Area,Atlantic Ocean,"MANIC-3 SECONDAIRE, ÉVACUATEUR"
991720,3658520,dam,Lower Manicouagan,,,,Manicouagan and aux Outardes,St. Lawrence Drainage Area,Atlantic Ocean,MANIC-2
724720,3665790,dam,Lower Manicouagan,,,,Manicouagan and aux Outardes,St. Lawrence Drainage Area,Atlantic Ocean,MCCORMICK
971720,3636640,dam,Lower aux Outardes,,,,Manicouagan and aux Outardes,St. Lawrence Drainage Area,Atlantic Ocean,"OUTARDES-4, REMBLAI NO. 4 AUX"
970720,3641520,dam,Lower aux Outardes,,,,Manicouagan and aux Outardes,St. Lawrence Drainage Area,Atlantic Ocean,"OUTARDES-4, BARRAGE AUX (REMBLAI NO. 1)"
1006720,3644130,dam,Lower aux Outardes,,,,Manicouagan and aux Outardes,St. Lawrence Drainage Area,Atlantic Ocean,"OUTARDES-3, BARRAGE AUX (PRINCIPAL)"
995720,3668090,dam,Lower aux Outardes,,,,Manicouagan and aux Outardes,St. Lawrence Drainage Area,Atlantic Ocean,"OUTARDES-2, BARRAGE AUX (BARRAGES PRINCIPAL, DIGUE OUEST)"
993720,3668430,dam,Lower aux Outardes,,,,Manicouagan and aux Outardes,St. Lawrence Drainage Area,Atlantic Ocean,"OUTARDES-2, AUXILLIAIRE NO. 5 AUX"
727720,3659400,dam,Pentecôte,,,,Moisie and St. Lawrence Estuary,St. Lawrence Drainage Area,Atlantic Ocean,LAC AUX ANGLAIS
733720,3623010,dam,Sainte-Marguerite,,,,Moisie and St. Lawrence Estuary,St. Lawrence Drainage Area,Atlantic Ocean,SAINTE-MARGUERITE (SM-2)
734720,3623310,dam,Sainte-Marguerite,,,,Moisie and St. Lawrence Estuary,St. Lawrence Drainage Area,Atlantic Ocean,SAINTE-MARGUERITE (SM-3)
592720,3582990,dam,Petit Mécatina - Coast,,,,Petit Mécatina and Strait of Belle Isle,St. Lawrence Drainage Area,Atlantic Ocean,"LAC ROBERTSON, BARRAGE PRINCIPAL"
467720,3626620,dam,Western White Bay,,,,Northern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,CAT ARM DAM WEST (CD-6)
946720,3628680,dam,Western White Bay,,,,Northern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,"CAT ARM DAM """"D"""" (CD-9)"
492720,3628790,dam,Western White Bay,,,,Northern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,"CAT ARM DAM """"A"""" (CD-8)"
469720,3666230,dam,Humber - Upper,,,,Northern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,MAIN DIVERSION DAM - GRAND LAKE RESERVOIR
470720,3671340,dam,Humber - Upper,,,,Northern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,GOOSE POND (HD-6)
795720,3672740,dam,Humber - Upper,,,,Northern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,HINDS LAKE POWER CANAL DYKE (HD-PC)
471720,3675070,dam,Humber - Upper,,,,Northern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,BLUE GRASS (HD-5)
797720,3688020,dam,Red Indian Lake,,,,Northern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,EXPLOITS
473720,3697730,dam,Red Indian Lake,,,,Northern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,STAR LAKE MAIN DAM
475720,3707520,dam,Red Indian Lake,,,,Northern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,"VICTORIA DYKE """"A"""" (VD-4)"
480720,3675050,dam,Exploits,,,,Northern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,RATTLING LAKE
482720,3739010,dam,La Poile Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,ROSE BLANCHE FOREBAY
479720,3717190,dam,White Bear Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,BURNT DAM (MD-11)
478720,3717970,dam,White Bear Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,BURNT CANAL DYKE (MD-BC)
481720,3716800,dam,Grey,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,PUDOPS (MD-2)
483720,3708710,dam,Hermitage Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,NORTH SALMON DAM (SD-2)
485720,3716490,dam,Hermitage Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,UPPER SALMON P.C. DYKES (SD-PC)
486720,3716260,dam,Hermitage Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,UPPER SALMON INTAKE DYKE (SD-IN)
484720,3716580,dam,Hermitage Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,WEST SALMON DAM (SD-1)
489720,3727190,dam,Hermitage Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,P.C. EMBANKMENT - BAY D'ESPOIR (LD-1)
487720,3728610,dam,Hermitage Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,SALMON DAM (LD-5)
459720,3739500,dam,Southwestern Placentia Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,PARADISE RIVER (PD-1)
458720,3765160,dam,Southwestern Placentia Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,FALL POND
465720,3724940,dam,Trinity Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,SEAL COVE POND
464720,3725980,dam,Trinity Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,PITMAN'S POND
756720,3748220,dam,Conception Bay,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,THOMAS POND (MANUELS)
460720,3753900,dam,Eastern Coast Newfoundland,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,MOBILE BIG POND
461720,3755880,dam,Eastern Coast Newfoundland,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,TORS COVE POND - EAST TORS COVE POND - WEST
463720,3758180,dam,Eastern Coast Newfoundland,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,MOUNT CARMEL
462720,3759580,dam,Eastern Coast Newfoundland,,,,Southern Newfoundland,St. Lawrence Drainage Area,Atlantic Ocean,CAPE BROYLE POND
